iter	RMSE
0	11842.35381
1	11505.16307
2	11179.62871
3	10872.08181
4	10578.38057
5	10289.57187
6	10030.35358
7	9768.053774
8	9507.069663
9	9255.558693
10	9008.062321
11	8791.293553
12	8591.847333
13	8374.917134
14	8184.538666
15	8014.68462
16	7836.698347
17	7672.320742
18	7512.810194
19	7369.252703
20	7212.746827
21	7072.194592
22	6933.171715
23	6795.096541
24	6670.880408
25	6553.011528
26	6446.955772
27	6350.335271
28	6241.38872
29	6153.000185
30	6067.67355
31	5977.921654
32	5902.942783
33	5820.855245
34	5748.382196
35	5675.791164
36	5606.034258
37	5554.585375
38	5496.690193
39	5436.885295
40	5384.781221
41	5335.272075
42	5288.799888
43	5247.116045
44	5202.644462
45	5153.154614
46	5109.652216
47	5064.459356
48	5028.138225
49	4993.502004
50	4960.217552
51	4928.282378
52	4899.447434
53	4872.446354
54	4856.423299
55	4828.934578
56	4806.009899
57	4784.179542
58	4760.531032
59	4745.001184
60	4726.304807
61	4706.066358
62	4687.306032
63	4669.820353
64	4652.101588
65	4634.355083
66	4619.424213
67	4605.678272
68	4594.795627
69	4580.758445
70	4564.700274
71	4552.724419
72	4539.618419
73	4530.574092
74	4517.536856
75	4506.37546
76	4497.018798
77	4487.070176
78	4477.024591
79	4464.699665
80	4454.659568
81	4446.015796
82	4438.532477
83	4430.728599
84	4424.972649
85	4414.147828
86	4409.646427
87	4399.080986
88	4389.770267
89	4382.137891
90	4374.825189
91	4366.294992
92	4355.269955
93	4348.614974
94	4340.063697
95	4333.741004
96	4325.287897
97	4317.167528
98	4312.696597
99	4309.077953
100	4304.207911
101	4297.9568
102	4288.822315
103	4285.205962
104	4281.404432
105	4277.637381
106	4271.051189
107	4265.123682
108	4258.528091
109	4251.617445
110	4247.389546
111	4238.021742
112	4231.57251
113	4226.410715
114	4220.364122
115	4215.881017
116	4212.501226
117	4208.808512
118	4203.975387
119	4202.977638
120	4198.048941
121	4193.30687
122	4190.588816
123	4186.909945
124	4183.658099
125	4177.176322
126	4173.053512
127	4170.794745
128	4167.431109
129	4163.957752
130	4161.61828
131	4160.391867
132	4157.890749
133	4154.167538
134	4150.57073
135	4146.420873
136	4143.055649
137	4136.789992
138	4132.495654
139	4128.949874
140	4124.207031
141	4121.817521
142	4118.132107
143	4115.726614
144	4110.888701
145	4106.569656
146	4104.031388
147	4100.957029
148	4096.626762
149	4093.708886
150	4090.337595
151	4086.578249
152	4084.353367
153	4080.418753
154	4078.20448
155	4075.434277
156	4069.722776
157	4066.066698
158	4061.971099
159	4057.457145
160	4053.892288
161	4051.356584
162	4043.691755
163	4040.850466
164	4039.964692
165	4036.237618
166	4030.901453
167	4025.711872
168	4025.150184
169	4022.107352
170	4017.817757
171	4016.805203
172	4013.86976
173	4010.298956
174	4006.234639
175	4003.949881
176	3999.75206
177	3994.400083
178	3991.768065
179	3987.514169
180	3984.370594
181	3982.798008
182	3977.837846
183	3969.569227
184	3963.024321
185	3953.909154
186	3950.555497
187	3946.664399
188	3942.656299
189	3938.421213
190	3935.458961
191	3931.362067
192	3929.490538
193	3926.936821
194	3924.735847
195	3921.347949
196	3917.493551
197	3912.67855
198	3910.779188
199	3907.850272
200	3903.762004
201	3901.289126
202	3896.221495
203	3893.479005
204	3891.637763
205	3890.09369
206	3885.159848
207	3880.033541
208	3877.468332
209	3873.238024
210	3870.094863
211	3866.68619
212	3862.81475
213	3860.927641
214	3858.141343
215	3855.97679
216	3852.692149
217	3849.038382
218	3842.931818
219	3840.310333
220	3837.446707
221	3835.697596
222	3832.232906
223	3830.335803
224	3827.616778
225	3824.319847
226	3819.774603
227	3816.652613
228	3815.061348
229	3812.238416
230	3809.272352
231	3806.513843
232	3805.233873
233	3802.992904
234	3799.229564
235	3795.859739
236	3792.35529
237	3788.39319
238	3786.723252
239	3785.071776
240	3778.654814
241	3777.172037
242	3773.720139
243	3771.977741
244	3769.712597
245	3767.017898
246	3764.011599
247	3761.710107
248	3759.600476
249	3756.137137
250	3752.868162
251	3750.355867
252	3746.989497
253	3745.659577
254	3743.358398
255	3741.466419
256	3737.971274
257	3735.268167
258	3732.163502
259	3728.892794
260	3725.600539
261	3723.389026
262	3720.823933
263	3715.353038
264	3712.083423
265	3710.388233
266	3709.435278
267	3706.225721
268	3701.880172
269	3699.634588
270	3695.801486
271	3691.473503
272	3687.344387
273	3684.833352
274	3681.265023
275	3679.458459
276	3677.802602
277	3676.225011
278	3674.325311
279	3672.208781
280	3666.848345
281	3664.730341
282	3660.837639
283	3657.259394
284	3655.964168
285	3653.760901
286	3651.526217
287	3650.736287
288	3649.67297
289	3647.108543
290	3644.868548
291	3639.315521
292	3636.776424
293	3635.010785
294	3629.289022
295	3626.799937
296	3625.041922
297	3622.031731
298	3618.824519
299	3616.552415
300	3611.243838
301	3607.107296
302	3605.422406
303	3599.633294
304	3595.799271
305	3594.125487
306	3589.379541
307	3588.14977
308	3585.961335
309	3584.346892
310	3582.031442
311	3580.485625
312	3577.847093
313	3575.230807
314	3574.29282
315	3573.380088
316	3570.839962
317	3569.407189
318	3567.563164
