iter	Logloss
0	0.6888035148
1	0.6848736682
2	0.6811095204
3	0.6763235318
4	0.6727903316
5	0.6691932364
6	0.665655096
7	0.6616627886
8	0.6583156275
9	0.6541994033
10	0.6516952343
11	0.6487407577
12	0.6454849047
13	0.6425414042
14	0.6388214496
15	0.636805664
16	0.6338696452
17	0.6311078795
18	0.6280874844
19	0.6257745377
20	0.6230328115
21	0.6200462936
22	0.6168566701
23	0.6142024367
24	0.6117522919
25	0.6076713284
26	0.6052740284
27	0.6025758431
28	0.6004723519
29	0.5976474882
30	0.5948693307
31	0.5917512111
32	0.5887658234
33	0.5863370476
34	0.583684722
35	0.5815044228
36	0.578918053
37	0.5763542136
38	0.574415397
39	0.5715410387
40	0.5697162687
41	0.5674366579
42	0.5650329501
43	0.5625558957
44	0.5606357832
45	0.5586400365
46	0.5567108179
47	0.5548284503
48	0.5526710897
49	0.5503834674
50	0.5482358734
51	0.546621652
52	0.5447773064
53	0.5428511433
54	0.5414176077
55	0.5397373123
56	0.5375793891
57	0.535459305
58	0.5343202406
59	0.5320636537
60	0.530252649
61	0.5281454391
62	0.5263494567
63	0.5247462649
64	0.5227281869
65	0.5211120199
66	0.519565191
67	0.5183499129
68	0.5168922778
69	0.515454916
70	0.5139754495
71	0.5124845405
72	0.5111223822
73	0.5093591639
74	0.5077342973
75	0.5058732196
76	0.5040930484
77	0.5025586895
78	0.5011958467
79	0.4997298489
80	0.4979382573
81	0.4966496033
82	0.4952305109
83	0.4937202371
84	0.4923461822
85	0.4905718172
86	0.4890175195
87	0.4876687097
88	0.4862687167
89	0.4855609135
90	0.4841268349
91	0.4830364455
92	0.4818195822
93	0.4807010678
94	0.479816952
95	0.4786836012
96	0.47688911
97	0.475244048
98	0.4740544269
99	0.4726375456
100	0.4715112435
101	0.4702770474
102	0.4690922804
103	0.4680600696
104	0.4670113339
105	0.4658817275
106	0.4650783839
107	0.4638998199
108	0.4626520036
109	0.4616302442
110	0.4605951102
111	0.4592317827
112	0.4583018356
113	0.4573721972
114	0.4562056773
115	0.4550268497
116	0.4537832145
117	0.4529354365
118	0.4518287673
119	0.4506396228
120	0.4496387957
121	0.4488354515
122	0.4479833996
123	0.4469010935
124	0.446069607
125	0.4449237054
126	0.4438990134
127	0.4428010652
128	0.4421815157
129	0.4413075321
130	0.4405049481
131	0.4395702261
132	0.4386657132
133	0.4378729293
134	0.4369776019
135	0.4360556844
136	0.4353701506
137	0.4346613931
138	0.4336383827
139	0.432650354
140	0.4319665471
141	0.4309508631
142	0.4300947658
143	0.4293074187
144	0.4286387397
145	0.4281908346
146	0.4274942135
147	0.4268201273
148	0.4261871132
149	0.4252484378
150	0.4244619737
151	0.4237466624
152	0.4232417143
153	0.4225032796
154	0.421936291
155	0.4213591203
156	0.4205002908
157	0.4197514247
158	0.4191388855
159	0.4183477959
160	0.4176524876
161	0.416972679
162	0.4163154909
163	0.41571499
164	0.4149466297
165	0.4141325776
166	0.4135211493
167	0.4131362062
168	0.4127245846
169	0.4121571849
170	0.4115543449
171	0.4111027138
172	0.4105490467
173	0.409726976
174	0.4089987846
175	0.4084316647
176	0.4079963438
177	0.407130612
178	0.4062219753
179	0.405426034
180	0.4048556646
181	0.4044099809
182	0.40388779
183	0.4033832314
184	0.4028929972
185	0.402092774
186	0.4016611136
187	0.4013122968
188	0.4007014457
189	0.4001582832
190	0.399328885
191	0.3988200293
192	0.3982035531
193	0.397659948
194	0.3972361623
195	0.3969301247
196	0.396584124
197	0.3960926894
198	0.3954852746
199	0.3948867565
200	0.394380138
201	0.3940259143
202	0.3936348875
203	0.3928224537
204	0.3920227251
205	0.3916719653
206	0.391084839
207	0.3905295076
208	0.3900863026
209	0.3894775302
210	0.3893392315
211	0.3887573706
212	0.3881587416
213	0.3875328922
214	0.3868855312
215	0.3861671732
216	0.3856476436
217	0.3852471807
218	0.3847265606
219	0.384291166
220	0.383675285
221	0.3831928286
222	0.3828523613
223	0.3824538566
224	0.3819627541
225	0.3813943603
226	0.3809120363
227	0.3802393191
228	0.3795629054
229	0.3790104807
230	0.3785330491
231	0.3781357073
232	0.3777109769
233	0.3772635705
234	0.3768425863
235	0.3762086892
236	0.3755412913
237	0.3752284439
238	0.3747240743
239	0.3741920176
240	0.373730695
241	0.3733742577
242	0.3727568054
243	0.3724478986
244	0.3717937797
245	0.3712151825
246	0.3706952629
247	0.3702442299
248	0.3698738779
249	0.369388904
250	0.3691370705
251	0.3688072363
252	0.3683498893
253	0.3678183147
254	0.3672748491
255	0.3668786248
256	0.366476593
257	0.3662104132
258	0.3659228903
259	0.3657121393
260	0.3653240923
261	0.3649962112
262	0.3647153143
263	0.3643054924
264	0.3640021691
265	0.363519354
266	0.3629894461
267	0.3624623912
268	0.362082028
269	0.3615884796
270	0.3612995247
271	0.3607829039
272	0.3601845294
273	0.3597672648
274	0.3592531264
275	0.358821935
276	0.3583389835
277	0.3578864477
278	0.357465609
279	0.3570149933
280	0.3566855074
281	0.3562605457
282	0.3559753379
283	0.3554821142
284	0.3551427189
285	0.3547316384
286	0.35416877
287	0.3536302447
288	0.3532986495
289	0.352766112
290	0.3525441514
291	0.3521650625
292	0.3518204681
293	0.3515525223
294	0.3512535761
295	0.3506928645
296	0.3503073416
297	0.3499541964
298	0.3497154987
299	0.349279581
300	0.3488470776
301	0.3485144277
302	0.3480643379
303	0.3477995787
304	0.3474284003
305	0.3470850698
306	0.3467284173
307	0.3464321652
308	0.3460694686
309	0.3456535338
310	0.3451674319
311	0.3446847975
312	0.3442062132
313	0.3437724816
314	0.3435732014
315	0.3433346771
316	0.3428742988
317	0.342422235
318	0.3417732009
319	0.3413543576
320	0.3409142986
