iter	Passed	Remaining
0	5	5327
1	9	4954
2	14	4851
3	19	4758
4	23	4727
5	28	4667
6	32	4632
7	37	4660
8	42	4633
9	46	4606
10	50	4506
11	53	4408
12	56	4285
13	59	4177
14	62	4072
15	64	3937
16	66	3851
17	68	3755
18	71	3675
19	73	3596
20	75	3531
21	77	3460
22	79	3394
23	82	3335
24	84	3284
25	86	3230
26	88	3186
27	90	3125
28	92	3082
29	94	3048
30	96	3007
31	98	2990
32	101	2968
33	103	2938
34	105	2914
35	107	2886
36	109	2862
37	112	2837
38	114	2820
39	116	2802
40	118	2780
41	121	2764
42	123	2744
43	125	2726
44	127	2715
45	130	2708
46	132	2694
47	134	2675
48	137	2661
49	139	2647
50	141	2632
51	143	2621
52	145	2607
53	148	2595
54	150	2582
55	152	2569
56	154	2556
57	156	2543
58	158	2531
59	160	2519
60	162	2508
61	165	2496
62	167	2486
63	169	2475
64	171	2464
65	173	2455
66	175	2444
67	177	2434
68	179	2425
69	181	2416
70	183	2406
71	186	2398
72	188	2389
73	190	2380
74	192	2371
75	194	2362
76	196	2355
77	198	2347
78	200	2338
79	202	2330
80	204	2322
81	206	2315
82	208	2308
83	211	2302
84	213	2294
85	215	2288
86	217	2281
87	219	2274
88	221	2267
89	223	2260
90	225	2254
91	227	2248
92	229	2242
93	232	2236
94	234	2231
95	236	2225
96	238	2220
97	240	2215
98	242	2210
99	245	2205
100	247	2199
101	249	2194
102	251	2189
103	253	2184
104	255	2180
105	258	2176
106	260	2172
107	262	2168
108	264	2163
109	266	2158
110	269	2154
111	271	2151
112	273	2148
113	276	2146
114	278	2142
115	280	2138
116	282	2134
117	284	2130
118	287	2126
119	289	2122
120	291	2118
121	293	2114
122	296	2110
123	298	2107
124	300	2103
125	302	2100
126	305	2098
127	307	2094
128	309	2092
129	312	2089
130	314	2085
131	316	2081
132	318	2078
133	321	2075
134	323	2072
135	325	2069
136	328	2066
137	330	2063
138	332	2059
139	334	2056
140	337	2053
141	339	2050
142	341	2047
143	343	2044
144	346	2041
145	348	2038
146	350	2035
147	353	2032
148	355	2029
149	357	2026
150	359	2023
151	362	2020
152	364	2017
153	367	2016
154	369	2013
155	371	2010
156	373	2006
157	375	2003
158	378	1999
159	380	1996
160	382	1995
161	385	1992
162	387	1989
163	389	1985
164	391	1982
165	394	1980
166	396	1977
167	398	1974
168	401	1972
169	403	1969
170	405	1967
171	408	1964
172	410	1963
173	413	1960
174	415	1958
175	417	1955
176	420	1953
177	422	1950
178	425	1950
179	427	1947
180	429	1944
181	432	1942
182	434	1939
183	436	1936
184	438	1933
185	441	1930
186	443	1928
187	445	1925
188	448	1922
189	450	1920
190	452	1917
191	454	1914
192	457	1911
193	459	1909
194	461	1906
195	464	1904
196	466	1901
197	468	1898
198	471	1896
199	473	1893
200	475	1891
201	478	1888
202	480	1885
203	482	1883
204	484	1880
205	487	1878
206	489	1875
207	491	1872
208	494	1870
209	496	1867
210	497	1862
211	500	1859
212	502	1857
213	505	1855
214	507	1852
215	509	1850
216	512	1847
217	514	1845
218	516	1843
219	519	1840
220	521	1838
221	523	1835
222	526	1833
223	528	1831
224	531	1829
225	533	1826
226	535	1824
227	538	1822
228	540	1820
229	542	1817
230	545	1816
231	548	1814
232	550	1812
233	552	1810
234	555	1808
235	557	1806
236	560	1803
237	562	1801
238	565	1799
239	567	1797
240	569	1794
241	572	1792
242	574	1790
243	577	1788
244	579	1786
245	581	1783
246	584	1781
247	586	1779
248	589	1776
249	591	1774
250	593	1771
251	596	1769
252	598	1767
253	600	1765
254	603	1762
255	605	1760
256	608	1758
257	610	1755
258	612	1753
259	615	1751
260	617	1748
261	620	1746
262	622	1744
263	624	1741
264	627	1739
